Age,Attrition,BusinessTravel,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,Salary,OverTime,PerformanceRating,RelationshipSatisfaction,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,Years_At_Company,YearsInCurrentRole,Years_Since_Promotion,YearsWithCurrManager,Attrition_Flag
41,Yes,Travel_Rarely,Sales,1,2,Life Sciences,2,Female,3,2,Sales Executive,4,Single,5993,Yes,3,1,8,0,1,6,4,0,5,1
49,No,Travel_Frequently,Research & Development,8,1,Life Sciences,3,Male,2,2,Research Scientist,2,Married,5130,No,4,4,10,3,3,10,7,1,7,0
37,Yes,Travel_Rarely,Research & Development,2,2,Other,4,Male,2,1,Laboratory Technician,3,Single,2090,Yes,3,2,7,3,3,0,0,0,0,1
33,No,Travel_Frequently,Research & Development,3,4,Life Sciences,4,Female,3,1,Research Scientist,3,Married,2909,Yes,3,3,8,3,3,8,7,3,0,0
27,No,Travel_Rarely,Research & Development,2,1,Medical,1,Male,3,1,Laboratory Technician,2,Married,3468,No,3,4,6,3,3,2,2,2,2,0
32,No,Travel_Frequently,Research & Development,2,2,Life Sciences,4,Male,3,1,Laboratory Technician,4,Single,3068,No,3,3,8,2,2,7,7,3,6,0
59,No,Travel_Rarely,Research & Development,3,3,Medical,3,Female,4,1,Laboratory Technician,1,Married,2670,Yes,4,1,12,3,2,1,0,0,0,0
30,No,Travel_Rarely,Research & Development,24,1,Life Sciences,4,Male,3,1,Laboratory Technician,3,Divorced,2693,No,4,2,1,2,3,1,0,0,0,0
38,No,Travel_Frequently,Research & Development,23,3,Life Sciences,4,Male,2,3,Manufacturing Director,3,Single,9526,No,4,2,10,2,3,9,7,1,8,0
36,No,Travel_Rarely,Research & Development,27,3,Medical,3,Male,3,2,Healthcare Representative,3,Married,5237,No,3,2,17,3,2,7,7,7,7,0
35,No,Travel_Rarely,Research & Development,16,3,Medical,1,Male,4,1,Laboratory Technician,2,Married,2426,No,3,3,6,5,3,5,4,0,3,0
29,No,Travel_Rarely,Research & Development,15,2,Life Sciences,4,Female,2,2,Laboratory Technician,3,Single,4193,Yes,3,4,10,3,3,9,5,0,8,0
31,No,Travel_Rarely,Research & Development,26,1,Life Sciences,1,Male,3,1,Research Scientist,3,Divorced,2911,No,3,4,5,1,2,5,2,4,3,0
34,No,Travel_Rarely,Research & Development,19,2,Medical,2,Male,3,1,Laboratory Technician,4,Divorced,2661,No,3,3,3,2,3,2,2,1,2,0
28,Yes,Travel_Rarely,Research & Development,24,3,Life Sciences,3,Male,2,1,Laboratory Technician,3,Single,2028,Yes,3,2,6,4,3,4,2,0,3,1
29,No,Travel_Rarely,Research & Development,21,4,Life Sciences,2,Female,4,3,Manufacturing Director,1,Divorced,9980,No,3,3,10,1,3,10,9,8,8,0
32,No,Travel_Rarely,Research & Development,5,2,Life Sciences,1,Male,4,1,Research Scientist,2,Divorced,3298,Yes,3,4,7,5,2,6,2,0,5,0
22,No,Non-Travel,Research & Development,16,2,Medical,4,Male,4,1,Laboratory Technician,4,Divorced,2935,Yes,3,2,1,2,2,1,0,0,0,0
53,No,Travel_Rarely,Sales,2,4,Life Sciences,1,Female,2,4,Manager,4,Married,15427,No,3,3,31,3,3,25,8,3,7,0
38,No,Travel_Rarely,Research & Development,2,3,Life Sciences,4,Male,3,1,Research Scientist,4,Single,3944,Yes,3,3,6,3,3,3,2,1,2,0
24,No,Non-Travel,Research & Development,11,2,Other,1,Female,4,2,Manufacturing Director,3,Divorced,4011,No,3,4,5,5,2,4,2,1,3,0
36,Yes,Travel_Rarely,Sales,9,4,Life Sciences,3,Male,2,1,Sales Representative,1,Single,3407,No,4,2,10,4,3,5,3,0,3,1
34,No,Travel_Rarely,Research & Development,7,4,Life Sciences,1,Female,3,3,Research Director,2,Single,11994,No,3,3,13,4,3,12,6,2,11,0
21,No,Travel_Rarely,Research & Development,15,2,Life Sciences,3,Male,3,1,Research Scientist,4,Single,1232,No,3,4,0,6,3,0,0,0,0,0
34,Yes,Travel_Rarely,Research & Development,6,1,Medical,2,Male,3,1,Research Scientist,1,Single,2960,No,3,3,8,2,3,4,2,1,3,1
53,No,Travel_Rarely,Research & Development,5,3,Other,3,Female,3,5,Manager,3,Divorced,19094,No,3,4,26,3,2,14,13,4,8,0
32,Yes,Travel_Frequently,Research & Development,16,1,Life Sciences,2,Female,1,1,Research Scientist,1,Single,3919,Yes,4,2,10,5,3,10,2,6,7,1
42,No,Travel_Rarely,Sales,8,4,Marketing,3,Male,3,2,Sales Executive,2,Married,6825,No,3,4,10,2,3,9,7,4,2,0
44,No,Travel_Rarely,Research & Development,7,4,Medical,1,Female,2,3,Healthcare Representative,4,Married,10248,No,3,4,24,4,3,22,6,5,17,0
46,No,Travel_Rarely,Sales,2,4,Marketing,2,Female,3,5,Manager,1,Single,18947,No,3,4,22,2,2,2,2,2,1,0
